drug	source	target	delta_ecv
LDN193189	PAQR8	ID3	1.0
LDN193189	TRAF5	MGAT5	1.0
LDN193189	ID3	ID1	1.0
LDN193189	RN7SK	RMRP	1.0
LDN193189	ID2	ID1	1.0
LDN193189	ID1	ID2	1.0
LDN193189	TBX3	PAQR8	1.0
LDN193189	LRIG1	TBX3	1.0
LDN193189	ID2	KLF4	1.0
LDN193189	ID2	ID2-AS1	1.0
LDN193189	ID1	ID3	1.0
LDN193189	PAQR8	CYP4F12	1.0
LDN193189	RAB32	ID1	1.0
LDN193189	SMAD7	PAQR8	1.0
LDN193189	PAQR8	SMAD7	1.0
cetuximab	EPHA2	EGR1	1.0
cetuximab	C11orf24	EGR1	1.0
cetuximab	IER3	TNS4	1.0
cetuximab	SHB	EGR1	1.0
cetuximab	TNS4	IER3	1.0
cetuximab	DUSP6	SPRY4	1.0
cetuximab	EPHA2	FOSL1	1.0
cetuximab	FOSL1	DUSP6	1.0
cetuximab	EPHA2	PLK3	1.0
cetuximab	SLC35E2B	DHRS9	1.0
cetuximab	B3GNT3	LDLR	1.0
cetuximab	EPHA2	TRIM15	1.0
