drug	patient_id	source	target	delta_ecv
LDN193189	C45	PAQR8	ID3	1.0
LDN193189	C45	TRAF5	MGAT5	1.0
LDN193189	C45	ID3	ID1	1.0
LDN193189	C45	RN7SK	RMRP	1.0
LDN193189	C45	ID2	ID1	1.0
LDN193189	C45	ID1	ID2	1.0
LDN193189	C45	TBX3	PAQR8	1.0
LDN193189	C45	LRIG1	TBX3	1.0
LDN193189	C45	ID2	KLF4	1.0
LDN193189	C45	ID2	ID2-AS1	1.0
LDN193189	C45	ID1	ID3	1.0
LDN193189	C45	PAQR8	CYP4F12	1.0
LDN193189	C45	RAB32	ID1	1.0
LDN193189	C45	SMAD7	PAQR8	1.0
LDN193189	C45	PAQR8	SMAD7	1.0
LDN193189	C307	PAQR8	ID3	1.0
LDN193189	C307	TRAF5	MGAT5	1.0
LDN193189	C307	ID3	ID1	1.0
LDN193189	C307	RN7SK	RMRP	1.0
LDN193189	C307	ID2	ID1	1.0
LDN193189	C307	ID1	ID2	1.0
LDN193189	C307	TBX3	PAQR8	1.0
LDN193189	C307	LRIG1	TBX3	1.0
LDN193189	C307	ID2	KLF4	1.0
LDN193189	C307	ID2	ID2-AS1	1.0
LDN193189	C307	ID1	ID3	1.0
LDN193189	C307	PAQR8	CYP4F12	1.0
LDN193189	C307	RAB32	ID1	1.0
LDN193189	C307	SMAD7	PAQR8	1.0
LDN193189	C307	PAQR8	SMAD7	1.0
LDN193189	CB3	PAQR8	ID3	1.0
LDN193189	CB3	TRAF5	MGAT5	1.0
LDN193189	CB3	ID3	ID1	1.0
LDN193189	CB3	RN7SK	RMRP	1.0
LDN193189	CB3	ID2	ID1	1.0
LDN193189	CB3	ID1	ID2	1.0
LDN193189	CB3	TBX3	PAQR8	1.0
LDN193189	CB3	LRIG1	TBX3	1.0
LDN193189	CB3	ID2	KLF4	1.0
LDN193189	CB3	ID2	ID2-AS1	1.0
LDN193189	CB3	ID1	ID3	1.0
LDN193189	CB3	PAQR8	CYP4F12	1.0
LDN193189	CB3	RAB32	ID1	1.0
LDN193189	CB3	SMAD7	PAQR8	1.0
LDN193189	CB3	PAQR8	SMAD7	1.0
LDN193189	C132	PMFBP1	RGMB	1.0
LDN193189	C132	ID3	ID1	1.0
LDN193189	C132	ID1	ID3	1.0
LDN193189	C132	UNC93A	LGR5	1.0
LDN193189	C132	ID1	ID2	1.0
