drug	patient_id	source	target	is_missing
LDN193189	resistant_group	PAQR8	ID3	1
LDN193189	resistant_group	TRAF5	MGAT5	1
LDN193189	resistant_group	RN7SK	RMRP	1
LDN193189	resistant_group	ID2	ID1	1
LDN193189	resistant_group	TBX3	PAQR8	1
LDN193189	resistant_group	LRIG1	TBX3	1
LDN193189	resistant_group	ID2	KLF4	1
LDN193189	resistant_group	ID2	ID2-AS1	1
LDN193189	resistant_group	PAQR8	CYP4F12	1
LDN193189	resistant_group	RAB32	ID1	1
LDN193189	resistant_group	SMAD7	PAQR8	1
LDN193189	resistant_group	PAQR8	SMAD7	1
cetuximab	resistant_group	EPHA2	EGR1	1
cetuximab	resistant_group	EPHA2	TRIM15	1
cetuximab	resistant_group	C11orf24	EGR1	1
cetuximab	resistant_group	TNS4	IER3	1
cetuximab	resistant_group	DUSP6	SPRY4	1
cetuximab	resistant_group	FOSL1	DUSP6	1
cetuximab	resistant_group	EPHA2	PLK3	1
cetuximab	resistant_group	B3GNT3	LDLR	1
cetuximab	resistant_group	SLC35E2B	DHRS9	1
