drug	gene	mean_logfc
LDN193189	C10orf82	-0.993104157
LDN193189	SMAD6	-0.981946198
LDN193189	OVOL2	-0.978267082
LDN193189	AKAP7	-0.956490754
LDN193189	SP6	-0.93185084
LDN193189	GPER1	-0.922038954
LDN193189	ZDHHC8P1	-0.916576457
LDN193189	RPS6KA6	-0.889770734
LDN193189	PHLDA1	-0.880966461
LDN193189	NOTUM	-0.858598041
LDN193189	IRF8	-0.8467764
LDN193189	PROX1	0.836243948
LDN193189	MXD1	-0.785599248
LDN193189	TRAF5	-0.775148904
LDN193189	AXIN2	-0.760185274
LDN193189	SERTAD1	-0.743631276
LDN193189	SPNS2	0.720988352
LDN193189	KLF4	-0.718924547
LDN193189	ID1	-4.536401009
LDN193189	ID3	-4.067515606
LDN193189	ID4	-2.697585655
LDN193189	ID2	-2.461867701
LDN193189	ID2-AS1	-2.240904122
LDN193189	MSX1	-1.714192355
LDN193189	PAQR8	-1.672057742
LDN193189	FRMD3	-1.635737458
LDN193189	LRIG1	1.596173454
LDN193189	TBX3	-1.593728707
LDN193189	SMAD7	-1.456620343
LDN193189	RASL11A	-1.387899847
LDN193189	DLL4	-1.287654518
LDN193189	HR	-1.253185115
LDN193189	C11orf86	-1.093452129
LDN193189	TMEM37	-1.077584217
LDN193189	FMNL3	-1.028401289
LDN193189	SLC26A2	-1.010222547
